content,postid
Does anyone have a suggestion for a lotion for rough skin that doesn't have coconut in it?,661675541006304
"Input plz , I'm T2 with controlled sugars ..... So this started out as a light red itchy spot (thought bug bite perhaps, but itchy stopped Saturday) on Friday last week and by Sunday it turned into this !! Has there been anyone else that this had happen to?",619232731917252
So my little type one hero is in dka.. we have been though this before but we always knew the reason like she had strep or something. They have run every lab they can think of. I have never experienced it where they can’t find the cause tell now.. her bg has not gone above 210... but she started vomiting at school with high ketones out of no where. Is this normal? She has had diabetes for 6 years and I am lost.,495650974275429
Hello!!  Any suggestions to help with dawn phenomenon?  I am on 1500 mg metformin right before I go to bed.  Lowest I've been able to get my BS is in the 140s.  Also has anyone had to cut out breads all together......even whole wheat in order to keep BS in normal range?  Thanks!!,269685713538624
If I would have known my life was going to be an ongoing experiment  I would have paid better attention in  chemistry/Science  ClassesIf I would have known my life was going to be an ongoing experiment  I would have paid better attention in  chemistry/Science  Classes,501013143739212
Are frozen fruits and veggies in a smoothie ok for diabetics,400118060495388
Has anyone had gastritis?,792022097971647
Ok so I got a new meter today tested on my left hand 189 and my right hand 166...this is after I finished eating. Has anyone experienced this?,785847241922466
"I was sick this week for the first time since I was diagnosed as T2 in December. I was nauseous and couldn’t force myself to eat solid food for 3-4 days. Obviously, my numbers were very low for me, dropping to the 50s and 60s overnight. How could I have handled this better?",565144087326117
Been fighting a cold. Now the doctor put me on prednisone for 5 days. Yuck! I know my sugars will rise now....Been fighting a cold. Now the doctor put me on prednisone for 5 days. Yuck! I know my sugars will rise now....,302677860239409
It’s Try Something New Sunday! Remember Disney Pixar's Ratatouille? Why not make yourself the real deal!?  http://www.diabeticlivingonline.com/diabetic-recipes/popular/myplate-inspired-comfort-food-made-light?page=6,10154928072275373
Hmmm,365119427328585
Looking to kick a bad habit for good? Read this!,2239052203063097
Has anyone tried the CHIA SEED DRINK to lose weight?? Does it work??Has anyone tried the CHIA SEED DRINK to lose weight?? Does it work??,569961380177721
"So I’ll be seeing a new endocrinologist starting next February...I’m excited but nervous. I had a horrible experience with the first one back in 2018, I’m scared it’ll end up being the same result. Can anyone give me any advice?",742459279594596
"Any crafty folk hanging around? I am looking forward to my fingers healing from my stay in the hospital so that I can resume knitting & crocheting without pain. ♡ (Crocheted this set as a baby gift for someone, and used the bear as a model for it.)",282040092303186
