n_gram,document_frequency
health,8
care,7
insurance,6
patient,4
patients,4
price,4
pain,4
insulin,4
health care,3
prices,3
good,3
set,3
chronic,3
money,3
lower,3
appeals,2
avoid,2
shopping,2
wait,2
goodrx,2
discount,2
excited,2
healthcare,2
medical,2
hear,2
planet,2
cost,2
depression,2
eyes,2
picture,2
bust,2
major,2
suffer,2
people,2
surprised,2
diabetes,2
experience,2
canada,2
article,2
quality,2
holidays,2
pharmacy,2
sleep,2
endoflife care,2
protect,2
soda,2
mention,2
risk,2
hate holidays,2
lilly,2
hate,2
guarantee,2
check,2
partnership,2
offer,2
medicare,2
nyt,2
drug,2
medications,2
telemedicine,2
drugs,2
chronic pain,2
program,2
endoflife,2
partnership digitalhealth ai,1
partnership quickcare,1
partnership quickcare pharmacy,1
pass,1
pain hate,1
partnership digitalhealth,1
pain doc,1
palmd triad drugs,1
panel,1
palmd triad,1
palmd,1
panel discussion,1
panel discussion patients,1
pain stress healthylifestyle,1
paper,1
paper picture,1
pain stress,1
pain macular degeneration,1
pain macular,1
pain hate holidays,1
owning primary care,1
pain doc signed,1
abruptly,1
outline,1
owning primary,1
offutt_afb,1
officiating numb,1
officiating,1
offer refunds disliked,1
offer refunds,1
offer halfprice insulin,1
offer halfprice,1
nytimes inquiry sham,1
nytimes inquiry,1
nytimes,1
nyt sucks,1
nyt details insanely,1
nyt details,1
nutrients good health,1
nutrients good,1
nutrients,1
numb wait till,1
numb wait,1
officiating numb wait,1
oligometas,1
owning,1
online,1
overpaying sim,1
overpaying,1
overinflated rates insulin,1
overinflated rates,1
overinflated,1
overdiagnosis,1
outline views cha,1
outline views,1
pass historic legislation,1
ordering blackout curtains,1
ordering blackout,1
ordering,1
ophthalmology visit waiting,1
ophthalmology visit,1
ophthalmology,1
online shopping experience,1
online shopping,1
pass historic,1
patient safety,1
passed,1
prerana nhs,1
price awp,1
pretty fake,1
pretty,1
prescription drug prices,1
prescription drug,1
prescription,1
prescribed kardia,1
prescribed,1
prerana nhs staff,1
prerana,1
price incorrect,1
practices anthem pursi,1
practices anthem,1
practices,1
postflood reconstruction offutt_afb,1
postflood reconstruction,1
postflood,1
portal epeeps prescribed,1
portal epeeps,1
portal,1
price awp benchmark,1
price incorrect promo,1
poor expensive,1
prison,1
problem days,1
problem,1
probe disgusting,1
probe,1
privacy cerberus picture,1
privacy cerberus,1
privacy,1
prison iranian regime,1
prison iranian,1
primary care practices,1
price setting,1
primary care,1
primary,1
pricing guarantees commonly,1
pricing guarantees,1
pricing,1
prices deliver transfo,1
prices deliver,1
prices check lower,1
prices check,1
poor expensive live,1
poor,1
passed includes,1
patient notes alivecor,1
patients suffer,1
patients struggling diabetes,1
patients struggling,1
patients advocates attending,1
patients advocates,1
patient vaginal probe,1
patient vaginal,1
patient safety outline,1
novascripts hear poor,1
patient notes,1
pay overinflated,1
patient missed questi,1
patient missed,1
path set pretty,1
path set,1
path,1
passes moving calpers,1
passes moving,1
passes,1
passed includes postflood,1
pay,1
pay overinflated rates,1
pollution,1
picture paper,1
points loss,1
points,1
playoffs,1
plastic,1
planet wef healthtech,1
planet wef,1
pillpack plastic,1
pillpack,1
picture paper picture,1
photo exhibit year,1
people chronic,1
photo exhibit,1
photo,1
pharmacy recommended shopping,1
