id,text,created_at
1203566151118143488,Who will coach #TigerHighSchool after #mikenorvell leaves for #FSU. I hope it’s Lyle Allen’s job now,2019-12-08 06:45:06
1205586349862129676,The latest The DrillingMaps Daily! https://t.co/yXqTkazsaB Thanks to @MNAgEnergy @AlphWilliams @expoztruth #energy #pollution,2019-12-13 20:32:39
1210810989785968640,"The  globalists like NBC, Teen Magazine, etc. pushes prostitution, etc. because people who's  lives  are in chaos a… https://t.co/l9kN1TtJ6e",2019-12-28 06:33:30
1207127272156733441,"We have a choice in accepting the system... hard choice but choice no less.
https://t.co/TdBUbAy0ap",2019-12-18 02:35:43
1203081541066330112,THANKS FOR THE INK @larsulrich @Metallica @Reagan_Airport #TheAirportHustle 🛩🛩🛩 #KenCenHonors2019 https://t.co/4K3qWD1uKG,2019-12-06 22:39:26
1207367428663074821,"Peloton's holiday ad falls flat, Israeli startup notches another 510(k) and more digital health news briefs https://t.co/YFUp5PrSyL",2019-12-18 18:30:01
1210554478761349120,Kyle thanks for taking the time to tell Jake and Tye’s story. 1st year at Clemson and on a team playing the Buckeye… https://t.co/mpGB7YqtAc,2019-12-27 13:34:13
1205948639107047427,RT @roper_93: Ohio lawmaker did not research whether or not reimplanting an ectopic pregnancy was possible before including it in the bill…,2019-12-14 20:32:15
1201152922471583744,This is a great read for all adults. #pain #stress #healthylifestyle #depression #fibromyalgia👇👇How to get out of a… https://t.co/I9qhLO4PQw,2019-12-01 14:55:47
1211412698069716992,"RT @patton6966: Attack on Jews in Ny yesterday, an attack on Christian's today. The DS is in panic mode with the truth coming out. Watch fo…",2019-12-29 22:24:28
1204184427263213569,"RT @WalshFreedom: I’d love to be on Fox News. I mean, I’m a Republican, challenging a sitting Republican President. You’d think Fox’s prima…",2019-12-09 23:41:54
1209893552047771648,@insulinth0t And congraduations on your marriage. I hope your wedding day will be all you want it to be.,2019-12-25 17:47:56
1210497613193084928,@MentalMinx Sword users fight for Grappler Rights,2019-12-27 09:48:15
1209710555562418177,This time of year can be difficult. From the expectations &amp; pressures we put on our own selves or from outside infl… https://t.co/J3i0vWIF6G,2019-12-25 05:40:46
1208082310052102147,RT @aip_texas: Drug pricing guarantees are still commonly set based on a discount off of the Average Wholesale Price (AWP) – a benchmark ev…,2019-12-20 17:50:42
1202335927332474882,@RFentonMD @WOMENHealthAlly Congrats!,2019-12-04 21:16:38
1204940623737970688,RT @buckhouse: The design team at Sequoia🌲is hiring. DM me for details. Can't wait to hear from you. https://t.co/JZd05iISEE,2019-12-12 01:46:46
1044602502270857217,The list of recalled valsartan products has increased to 80 medications. Here's everything you need to know about t… https://t.co/lqjD3ngzJt,2018-09-25 15:00:18
1207789704487329792,@RexByner @DrVanHelsingPhD @stweetleigh @MPFIED @eloiseat6 @marcellalaluna @CuntyLiberal @KayKai_LaGhost @DeniseInNC LOVE this !!!,2019-12-19 22:27:59
1211415993982967808,"Good, sobering look at the spread of false health information in 2019. Really important points about the loss of tr… https://t.co/5WM3HldXYb",2019-12-29 22:37:34
1204475417702350849,An estimated 80% of #medicalbills contain errors that can cost you money. Avoid overpaying by following these 6 sim… https://t.co/iyYCXPqp2U,2019-12-10 18:58:12
1204077780490690560,"I'm not afraid to stand up to billionaires and corrupt politicians to fight for the big, structural change we need. https://t.co/ptl7TCtXAi",2019-12-09 16:38:08
